id,donor_id,donor_name,items,available,created_at
4422433552,4422348688,Ballard Food Bank,Canned Soup (18); Medical Kit (19),True,2025-10-18T21:23:56.808450
4422433808,4422348688,Ballard Food Bank,Winter Jacket (21); Sleeping Bag (5),True,2025-10-18T21:23:56.808636
4422434128,4422348944,YWCA Central Area Food Bank,Warm Blanket (11); Canned Soup (21),True,2025-10-18T21:23:56.808697
4422434384,4422348944,YWCA Central Area Food Bank,Warm Blanket (18); Winter Jacket (10),True,2025-10-18T21:23:56.808751
4422434640,4422349264,El Centro de la Raza,Warm Blanket (13); Warm Blanket (24),True,2025-10-18T21:23:56.808805
4422434512,4422349264,El Centro de la Raza,Sleeping Bag (14),True,2025-10-18T21:23:56.808862
4422451472,4422349584,Pike Market Food Bank,Winter Jacket (18); Warm Blanket (22); Winter Jacket (10),True,2025-10-18T21:23:56.808919
4422451600,4422349584,Pike Market Food Bank,Toothpaste (28),True,2025-10-18T21:23:56.808972
4422451728,4422349904,Ashwin,Rice Pack (28),True,2025-10-18T21:23:56.809028
4422452240,4422349904,Ashwin,Sleeping Bag (7); Rice Pack (10); Sleeping Bag (21),True,2025-10-18T21:23:56.809081
4422452496,4422351312,Test Volunteer,Warm Blanket (1); Toothpaste (29); Toothpaste (13),True,2025-10-18T21:23:56.809139
4422452688,4422351312,Test Volunteer,Rice Pack (1),True,2025-10-18T21:23:56.809193
4728636240,4728516880,Ballard Food Bank,Canned Soup (39); Winter Jacket (12); Sleeping Bag (39); Winter Jacket (40),True,2025-10-18T21:30:56.502021
4728636560,4728516880,Ballard Food Bank,Canned Soup (43); Warm Blanket (36); Rice Pack (30),True,2025-10-18T21:30:56.502297
4728636944,4728516880,Ballard Food Bank,Canned Soup (35); Toothpaste (10),True,2025-10-18T21:30:56.502406
4728637072,4728516880,Ballard Food Bank,Warm Blanket (30); Canned Soup (39); Rice Pack (13); Warm Blanket (27),True,2025-10-18T21:30:56.502485
4728637456,4728517136,YWCA Central Area Food Bank,Rice Pack (44); Toothpaste (45); Canned Soup (22); Rice Pack (38),True,2025-10-18T21:30:56.502554
4728637648,4728517136,YWCA Central Area Food Bank,Winter Jacket (37); Medical Kit (34); Rice Pack (20); Sleeping Bag (46),True,2025-10-18T21:30:56.502619
4728638224,4728517136,YWCA Central Area Food Bank,Rice Pack (40); Sleeping Bag (37); Canned Soup (14); Winter Jacket (49),True,2025-10-18T21:30:56.502690
4728638608,4728517136,YWCA Central Area Food Bank,Sleeping Bag (45); Toothpaste (10); Rice Pack (21); Rice Pack (17),True,2025-10-18T21:30:56.502758
4728639120,4728517456,El Centro de la Raza,Medical Kit (36); Winter Jacket (49),True,2025-10-18T21:30:56.502819
4728639376,4728517456,El Centro de la Raza,Rice Pack (24); Sleeping Bag (36),True,2025-10-18T21:30:56.502875
4728639632,4728517456,El Centro de la Raza,Sleeping Bag (15); Toothpaste (48),True,2025-10-18T21:30:56.502930
4728639824,4728517456,El Centro de la Raza,Rice Pack (18); Toothpaste (29); Rice Pack (46),True,2025-10-18T21:30:56.502986
4728640208,4728517776,Pike Market Food Bank,Toothpaste (14); Medical Kit (30),True,2025-10-18T21:30:56.503042
4728640336,4728517776,Pike Market Food Bank,Warm Blanket (32); Canned Soup (50); Toothpaste (18); Sleeping Bag (22),True,2025-10-18T21:30:56.503099
4728640848,4728517776,Pike Market Food Bank,Rice Pack (37); Canned Soup (41),True,2025-10-18T21:30:56.503154
4728641104,4728517776,Pike Market Food Bank,Medical Kit (10); Winter Jacket (19),True,2025-10-18T21:30:56.503239
4728641232,4728518096,Ashwin,Toothpaste (46); Medical Kit (22); Warm Blanket (39); Toothpaste (24),True,2025-10-18T21:30:56.503336
4728641680,4728518096,Ashwin,Winter Jacket (50); Sleeping Bag (18); Canned Soup (33),True,2025-10-18T21:30:56.503399
4728642000,4728518096,Ashwin,Rice Pack (47); Warm Blanket (18); Sleeping Bag (40),True,2025-10-18T21:30:56.503498
4728642384,4728518096,Ashwin,Rice Pack (35); Winter Jacket (20),True,2025-10-18T21:30:56.503559
4728642576,4728519504,Test Volunteer,Rice Pack (11); Medical Kit (22); Medical Kit (30),True,2025-10-18T21:30:56.503641
4728642960,4728519504,Test Volunteer,Medical Kit (27); Warm Blanket (39),True,2025-10-18T21:30:56.503701
4728643088,4728519504,Test Volunteer,Medical Kit (46); Rice Pack (31); Medical Kit (48); Winter Jacket (35),True,2025-10-18T21:30:56.503837
4728643536,4728519504,Test Volunteer,Winter Jacket (14); Toothpaste (40); Sleeping Bag (38),True,2025-10-18T21:30:56.503906
