id,donor_id,donor_name,items,available,created_at
4422433552,4422348688,Ballard Food Bank,Canned Soup (18); Medical Kit (19),True,2025-10-18T21:23:56.808450
4422433808,4422348688,Ballard Food Bank,Winter Jacket (21); Sleeping Bag (5),True,2025-10-18T21:23:56.808636
4422434128,4422348944,YWCA Central Area Food Bank,Warm Blanket (11); Canned Soup (21),True,2025-10-18T21:23:56.808697
4422434384,4422348944,YWCA Central Area Food Bank,Warm Blanket (18); Winter Jacket (10),True,2025-10-18T21:23:56.808751
4422434640,4422349264,El Centro de la Raza,Warm Blanket (13); Warm Blanket (24),True,2025-10-18T21:23:56.808805
4422434512,4422349264,El Centro de la Raza,Sleeping Bag (14),True,2025-10-18T21:23:56.808862
4422451472,4422349584,Pike Market Food Bank,Winter Jacket (18); Warm Blanket (22); Winter Jacket (10),True,2025-10-18T21:23:56.808919
4422451600,4422349584,Pike Market Food Bank,Toothpaste (28),True,2025-10-18T21:23:56.808972
4422451728,4422349904,Ashwin,Rice Pack (28),True,2025-10-18T21:23:56.809028
4422452240,4422349904,Ashwin,Sleeping Bag (7); Rice Pack (10); Sleeping Bag (21),True,2025-10-18T21:23:56.809081
4422452496,4422351312,Test Volunteer,Warm Blanket (1); Toothpaste (29); Toothpaste (13),True,2025-10-18T21:23:56.809139
4422452688,4422351312,Test Volunteer,Rice Pack (1),True,2025-10-18T21:23:56.809193
