id,requester_id,requester_name,items,urgency,status,created_at,fulfilled_by
4317143504,4422342800,King County Emergency Family Shelter Intake offered by Mary's Place,Warm Blanket (9); Canned Soup (5); Sleeping Bag (8),low,open,2025-10-18T21:23:56.804265,
4420158800,4422342800,King County Emergency Family Shelter Intake offered by Mary's Place,Winter Jacket (7),normal,open,2025-10-18T21:23:56.804800,
4317143440,4422342800,King County Emergency Family Shelter Intake offered by Mary's Place,Medical Kit (4); Canned Soup (12),normal,open,2025-10-18T21:23:56.804910,
4317143952,4317145488,Shelter Dispatch offered at Operation Nightwatch,Rice Pack (5); Toothpaste (2); Toothpaste (8),normal,open,2025-10-18T21:23:56.804987,
4422352336,4317145488,Shelter Dispatch offered at Operation Nightwatch,Rice Pack (13); Canned Soup (15),high,open,2025-10-18T21:23:56.805051,
4422352208,4317145488,Shelter Dispatch offered at Operation Nightwatch,Toothpaste (13),normal,open,2025-10-18T21:23:56.805109,
4422352848,4317145680,Women's Shelter offered by WHEEL at Trinity Episcopal Parish,Rice Pack (15); Toothpaste (8),normal,open,2025-10-18T21:23:56.805171,
4422418512,4317145680,Women's Shelter offered by WHEEL at Trinity Episcopal Parish,Canned Soup (11); Warm Blanket (9),high,open,2025-10-18T21:23:56.805239,
4422418832,4317145680,Women's Shelter offered by WHEEL at Trinity Episcopal Parish,Rice Pack (20); Warm Blanket (13); Canned Soup (16),high,open,2025-10-18T21:23:56.805308,
4422419216,4317145936,Women's Shelter offered by WHEEL at First Presbyterian Church,Sleeping Bag (20); Rice Pack (2),normal,open,2025-10-18T21:23:56.805365,
4422419344,4317145936,Women's Shelter offered by WHEEL at First Presbyterian Church,Winter Jacket (13); Winter Jacket (4); Warm Blanket (16),low,open,2025-10-18T21:23:56.805423,
4422419792,4317145936,Women's Shelter offered by WHEEL at First Presbyterian Church,Medical Kit (18); Sleeping Bag (8); Medical Kit (11),urgent,open,2025-10-18T21:23:56.805480,
4422420176,4422343184,Men's Shelter offered at Bread of Life Mission,Canned Soup (12); Sleeping Bag (8),urgent,open,2025-10-18T21:23:56.805532,
4422420368,4422343184,Men's Shelter offered at Bread of Life Mission,Warm Blanket (2); Warm Blanket (13); Canned Soup (20),normal,open,2025-10-18T21:23:56.805585,
4422420752,4422343184,Men's Shelter offered at Bread of Life Mission,Medical Kit (8); Winter Jacket (16),urgent,open,2025-10-18T21:23:56.805635,
4422420944,4422343504,Men's Shelter offered by Catholic Community Services' St. Martin de Porres Shelter,Winter Jacket (16); Toothpaste (17); Canned Soup (18),normal,open,2025-10-18T21:23:56.805688,
4422420880,4422343504,Men's Shelter offered by Catholic Community Services' St. Martin de Porres Shelter,Winter Jacket (8),urgent,open,2025-10-18T21:23:56.805739,
4422421456,4422343504,Men's Shelter offered by Catholic Community Services' St. Martin de Porres Shelter,Winter Jacket (1); Toothpaste (10); Canned Soup (5),low,open,2025-10-18T21:23:56.805790,
4422421648,4422343824,Enhanced Night Shelter Program offered by YWCA Seattle King Snohomish Angeline's Center for Homeless Women,Medical Kit (9),high,open,2025-10-18T21:23:56.805839,
4422422032,4422343824,Enhanced Night Shelter Program offered by YWCA Seattle King Snohomish Angeline's Center for Homeless Women,Toothpaste (17); Toothpaste (3); Rice Pack (2),high,open,2025-10-18T21:23:56.805895,
4422422288,4422343824,Enhanced Night Shelter Program offered by YWCA Seattle King Snohomish Angeline's Center for Homeless Women,Sleeping Bag (1); Warm Blanket (6); Toothpaste (10),high,open,2025-10-18T21:23:56.805949,
4422422672,4422344144,Women's Shelter offered at DESC's Kerner-Scott House Women's Shelter,Warm Blanket (6); Toothpaste (20),urgent,open,2025-10-18T21:23:56.806001,
4422422608,4422344144,Women's Shelter offered at DESC's Kerner-Scott House Women's Shelter,Canned Soup (1),low,open,2025-10-18T21:23:56.806048,
4422423120,4422344144,Women's Shelter offered at DESC's Kerner-Scott House Women's Shelter,Rice Pack (16); Medical Kit (1); Rice Pack (13),normal,open,2025-10-18T21:23:56.806098,
4422423504,4422344528,Men's Enhanced Shelter offered at Seattle Indian Center at Roy Street,Rice Pack (20),high,open,2025-10-18T21:23:56.806193,
4422423376,4422344528,Men's Enhanced Shelter offered at Seattle Indian Center at Roy Street,Winter Jacket (14),normal,open,2025-10-18T21:23:56.806244,
4422423632,4422344528,Men's Enhanced Shelter offered at Seattle Indian Center at Roy Street,Canned Soup (6),high,open,2025-10-18T21:23:56.806294,
4422423440,4422344848,Extended Stay Shelter offered at Sophia's Place,Winter Jacket (1),low,open,2025-10-18T21:23:56.806344,
4422424016,4422344848,Extended Stay Shelter offered at Sophia's Place,Toothpaste (18),low,open,2025-10-18T21:23:56.806398,
4422424400,4422344848,Extended Stay Shelter offered at Sophia's Place,Warm Blanket (2); Sleeping Bag (7); Warm Blanket (8),high,open,2025-10-18T21:23:56.806451,
4422424144,4422345168,Eastside Men's Shelter offered by PorchLight on Eastgate Way,Warm Blanket (16),normal,open,2025-10-18T21:23:56.806502,
4422424656,4422345168,Eastside Men's Shelter offered by PorchLight on Eastgate Way,Warm Blanket (17),normal,open,2025-10-18T21:23:56.806551,
4422425040,4422345168,Eastside Men's Shelter offered by PorchLight on Eastgate Way,Toothpaste (12); Medical Kit (12); Toothpaste (4),high,open,2025-10-18T21:23:56.806606,
4422425360,4422345488,Men's Rotating Shelter offered by PorchLight,Rice Pack (10); Sleeping Bag (17); Medical Kit (7),urgent,open,2025-10-18T21:23:56.806661,
4422425552,4422345488,Men's Rotating Shelter offered by PorchLight,Warm Blanket (4),high,open,2025-10-18T21:23:56.806711,
4422425680,4422345488,Men's Rotating Shelter offered by PorchLight,Winter Jacket (1),urgent,open,2025-10-18T21:23:56.806760,
4422426064,4422345744,Emergency Shelter offered by Sophia Way at Helen's Place,Rice Pack (18); Sleeping Bag (20); Sleeping Bag (17),high,open,2025-10-18T21:23:56.806812,
4422426384,4422345744,Emergency Shelter offered by Sophia Way at Helen's Place,Medical Kit (15); Winter Jacket (1); Canned Soup (11),normal,open,2025-10-18T21:23:56.806866,
4422426704,4422345744,Emergency Shelter offered by Sophia Way at Helen's Place,Warm Blanket (10); Toothpaste (13); Winter Jacket (12),normal,open,2025-10-18T21:23:56.806921,
4422427088,4422346064,Women's Shelter offered at Hospitality House,Canned Soup (7); Toothpaste (1),high,open,2025-10-18T21:23:56.806973,
4422427280,4422346064,Women's Shelter offered at Hospitality House,Medical Kit (16); Canned Soup (15); Sleeping Bag (15),high,open,2025-10-18T21:23:56.807025,
4422427664,4422346064,Women's Shelter offered at Hospitality House,Medical Kit (3); Sleeping Bag (16),low,open,2025-10-18T21:23:56.807077,
4422427600,4422346384,24-Hour Shelter Program offered at DESC's The Gateway,Canned Soup (6),high,open,2025-10-18T21:23:56.807134,
4422428112,4422346384,24-Hour Shelter Program offered at DESC's The Gateway,Rice Pack (8); Rice Pack (15); Canned Soup (9),low,open,2025-10-18T21:23:56.807185,
4422428432,4422346384,24-Hour Shelter Program offered at DESC's The Gateway,Canned Soup (10); Canned Soup (6),high,open,2025-10-18T21:23:56.807240,
4422428688,4422346704,24-Hour Shelter Program offered at DESC's Mary Pilgrim Inn,Warm Blanket (6); Medical Kit (17),normal,open,2025-10-18T21:23:56.807292,
4422428880,4422346704,24-Hour Shelter Program offered at DESC's Mary Pilgrim Inn,Sleeping Bag (10); Medical Kit (3); Medical Kit (15),urgent,open,2025-10-18T21:23:56.807351,
4422429264,4422346704,24-Hour Shelter Program offered at DESC's Mary Pilgrim Inn,Winter Jacket (2); Warm Blanket (10),urgent,open,2025-10-18T21:23:56.807410,
4422429456,4422346960,Shelter Housing offered at Vine Maple Place,Rice Pack (12); Sleeping Bag (17); Warm Blanket (11),urgent,open,2025-10-18T21:23:56.807464,
4422429776,4422346960,Shelter Housing offered at Vine Maple Place,Canned Soup (10); Toothpaste (7); Rice Pack (11),low,open,2025-10-18T21:23:56.807525,
4422430096,4422346960,Shelter Housing offered at Vine Maple Place,Canned Soup (2); Medical Kit (18); Warm Blanket (6),urgent,fulfilled,2025-10-18T21:23:56.807577,Ashwin
4422430032,4422347280,Sundown Shelter,Winter Jacket (14),normal,open,2025-10-18T21:23:56.807671,
4422430672,4422347280,Sundown Shelter,Medical Kit (2); Warm Blanket (1),urgent,open,2025-10-18T21:23:56.807730,
4422430928,4422347280,Sundown Shelter,Canned Soup (14); Warm Blanket (17),urgent,open,2025-10-18T21:23:56.807788,
4422430800,4422347600,Blaine Veterans Center Enhanced Shelter offered by Compass Housing Alliance,Canned Soup (10),high,open,2025-10-18T21:23:56.807852,
4422431376,4422347600,Blaine Veterans Center Enhanced Shelter offered by Compass Housing Alliance,Warm Blanket (13); Toothpaste (5),urgent,open,2025-10-18T21:23:56.807914,
4422431568,4422347600,Blaine Veterans Center Enhanced Shelter offered by Compass Housing Alliance,Medical Kit (18); Toothpaste (6); Rice Pack (9),high,open,2025-10-18T21:23:56.807981,
4422431760,4422347920,Shelter offered at REACH Center of Hope,Toothpaste (11),low,open,2025-10-18T21:23:56.808051,
4422432144,4422347920,Shelter offered at REACH Center of Hope,Winter Jacket (6); Toothpaste (2); Sleeping Bag (14),low,open,2025-10-18T21:23:56.808123,
4422432464,4422347920,Shelter offered at REACH Center of Hope,Warm Blanket (18); Sleeping Bag (11),high,open,2025-10-18T21:23:56.808184,
4422432656,4422348304,House of Hope operated by Mamma's Hands,Canned Soup (20); Toothpaste (18); Canned Soup (7),urgent,open,2025-10-18T21:23:56.808254,
4422432976,4422348304,House of Hope operated by Mamma's Hands,Medical Kit (10); Medical Kit (4); Sleeping Bag (10),low,open,2025-10-18T21:23:56.808329,
4422432912,4422348304,House of Hope operated by Mamma's Hands,Warm Blanket (9),normal,open,2025-10-18T21:23:56.808388,
4422453136,4422350544,Naren,Toothpaste (7); Sleeping Bag (10),urgent,open,2025-10-18T21:23:56.809247,
4422453264,4422350544,Naren,Rice Pack (7); Rice Pack (1); Rice Pack (10),normal,open,2025-10-18T21:23:56.809311,
4422453648,4422350544,Naren,Warm Blanket (6); Rice Pack (6),high,open,2025-10-18T21:23:56.809375,
4422453584,4422350928,Tarun,Canned Soup (10),high,open,2025-10-18T21:23:56.809439,
4422454096,4422350928,Tarun,Winter Jacket (3); Medical Kit (2),low,open,2025-10-18T21:23:56.809495,
4422454032,4422350928,Tarun,Rice Pack (10),normal,open,2025-10-18T21:23:56.809552,
4351042832,4728510992,King County Emergency Family Shelter Intake offered by Mary's Place,Rice Pack (22); Canned Soup (5); Rice Pack (18); Warm Blanket (15),low,open,2025-10-18T21:30:56.493705,
4351043920,4728510992,King County Emergency Family Shelter Intake offered by Mary's Place,Warm Blanket (18); Canned Soup (12); Sleeping Bag (15); Toothpaste (5),urgent,open,2025-10-18T21:30:56.494144,
4728520272,4728510992,King County Emergency Family Shelter Intake offered by Mary's Place,Medical Kit (7); Toothpaste (8); Toothpaste (5),high,open,2025-10-18T21:30:56.494278,
4728520656,4728510992,King County Emergency Family Shelter Intake offered by Mary's Place,Rice Pack (16); Sleeping Bag (13),normal,open,2025-10-18T21:30:56.494374,
4728570128,4728510992,King County Emergency Family Shelter Intake offered by Mary's Place,Canned Soup (9); Warm Blanket (8),normal,open,2025-10-18T21:30:56.494463,
4728570448,4351043408,Shelter Dispatch offered at Operation Nightwatch,Winter Jacket (9); Winter Jacket (22); Rice Pack (21); Sleeping Bag (14),normal,open,2025-10-18T21:30:56.494543,
4728570768,4351043408,Shelter Dispatch offered at Operation Nightwatch,Canned Soup (20); Medical Kit (15); Toothpaste (22),normal,open,2025-10-18T21:30:56.494618,
4728571216,4351043408,Shelter Dispatch offered at Operation Nightwatch,Winter Jacket (6); Canned Soup (11); Medical Kit (15); Warm Blanket (14),low,open,2025-10-18T21:30:56.494697,
4728571536,4351043408,Shelter Dispatch offered at Operation Nightwatch,Sleeping Bag (6); Warm Blanket (5); Medical Kit (12),normal,open,2025-10-18T21:30:56.494779,
4728571856,4351043408,Shelter Dispatch offered at Operation Nightwatch,Toothpaste (13); Toothpaste (8); Rice Pack (22),low,open,2025-10-18T21:30:56.494855,
4728571792,4351043280,Women's Shelter offered by WHEEL at Trinity Episcopal Parish,Toothpaste (12); Canned Soup (9); Winter Jacket (16),normal,open,2025-10-18T21:30:56.494925,
4728572496,4351043280,Women's Shelter offered by WHEEL at Trinity Episcopal Parish,Winter Jacket (11); Winter Jacket (18); Rice Pack (15); Canned Soup (15),urgent,open,2025-10-18T21:30:56.495215,
4728573008,4351043280,Women's Shelter offered by WHEEL at Trinity Episcopal Parish,Winter Jacket (9); Sleeping Bag (7),urgent,open,2025-10-18T21:30:56.495314,
4728573200,4351043280,Women's Shelter offered by WHEEL at Trinity Episcopal Parish,Toothpaste (20); Sleeping Bag (20); Canned Soup (19),low,open,2025-10-18T21:30:56.495396,
4728573520,4351043280,Women's Shelter offered by WHEEL at Trinity Episcopal Parish,Rice Pack (19); Warm Blanket (19); Medical Kit (10),low,open,2025-10-18T21:30:56.495472,
4728573968,4351043472,Women's Shelter offered by WHEEL at First Presbyterian Church,Winter Jacket (12); Medical Kit (7); Winter Jacket (16); Rice Pack (7),normal,open,2025-10-18T21:30:56.495549,
4728574352,4351043472,Women's Shelter offered by WHEEL at First Presbyterian Church,Sleeping Bag (8); Canned Soup (19),urgent,open,2025-10-18T21:30:56.495623,
4728574608,4351043472,Women's Shelter offered by WHEEL at First Presbyterian Church,Sleeping Bag (18); Sleeping Bag (6),low,open,2025-10-18T21:30:56.495690,
4728574800,4351043472,Women's Shelter offered by WHEEL at First Presbyterian Church,Medical Kit (10); Winter Jacket (5); Toothpaste (24),normal,open,2025-10-18T21:30:56.495760,
4728575056,4351043472,Women's Shelter offered by WHEEL at First Presbyterian Church,Rice Pack (8); Medical Kit (10); Warm Blanket (5); Toothpaste (15),urgent,open,2025-10-18T21:30:56.495830,
4728575440,4728511376,Men's Shelter offered at Bread of Life Mission,Warm Blanket (6); Winter Jacket (7); Warm Blanket (9),normal,open,2025-10-18T21:30:56.495898,
4728575952,4728511376,Men's Shelter offered at Bread of Life Mission,Sleeping Bag (13); Winter Jacket (20),high,open,2025-10-18T21:30:56.495961,
4728576272,4728511376,Men's Shelter offered at Bread of Life Mission,Winter Jacket (6); Toothpaste (14); Medical Kit (19),high,open,2025-10-18T21:30:56.496030,
4728576400,4728511376,Men's Shelter offered at Bread of Life Mission,Toothpaste (13); Sleeping Bag (5); Winter Jacket (14); Medical Kit (18),low,open,2025-10-18T21:30:56.496098,
4728576592,4728511376,Men's Shelter offered at Bread of Life Mission,Warm Blanket (22); Rice Pack (6),low,open,2025-10-18T21:30:56.496159,
4728577104,4728511696,Men's Shelter offered by Catholic Community Services' St. Martin de Porres Shelter,Sleeping Bag (24); Toothpaste (12),low,open,2025-10-18T21:30:56.496223,
4728577424,4728511696,Men's Shelter offered by Catholic Community Services' St. Martin de Porres Shelter,Toothpaste (25); Canned Soup (7); Winter Jacket (20),low,open,2025-10-18T21:30:56.496288,
4728577744,4728511696,Men's Shelter offered by Catholic Community Services' St. Martin de Porres Shelter,Medical Kit (17); Warm Blanket (24); Winter Jacket (18),urgent,open,2025-10-18T21:30:56.496353,
4728578000,4728511696,Men's Shelter offered by Catholic Community Services' St. Martin de Porres Shelter,Rice Pack (21); Warm Blanket (20); Canned Soup (21); Medical Kit (23),high,open,2025-10-18T21:30:56.496418,
4728578512,4728511696,Men's Shelter offered by Catholic Community Services' St. Martin de Porres Shelter,Winter Jacket (23); Canned Soup (6),low,open,2025-10-18T21:30:56.496481,
4728578640,4728512016,Enhanced Night Shelter Program offered by YWCA Seattle King Snohomish Angeline's Center for Homeless Women,Warm Blanket (13); Rice Pack (9); Canned Soup (15),urgent,open,2025-10-18T21:30:56.496546,
4728579088,4728512016,Enhanced Night Shelter Program offered by YWCA Seattle King Snohomish Angeline's Center for Homeless Women,Winter Jacket (9); Toothpaste (18); Toothpaste (7),normal,open,2025-10-18T21:30:56.496613,
4728579472,4728512016,Enhanced Night Shelter Program offered by YWCA Seattle King Snohomish Angeline's Center for Homeless Women,Toothpaste (21); Rice Pack (19),low,open,2025-10-18T21:30:56.496679,
4728579664,4728512016,Enhanced Night Shelter Program offered by YWCA Seattle King Snohomish Angeline's Center for Homeless Women,Rice Pack (21); Toothpaste (10); Rice Pack (20),normal,open,2025-10-18T21:30:56.496814,
4728580048,4728512016,Enhanced Night Shelter Program offered by YWCA Seattle King Snohomish Angeline's Center for Homeless Women,Winter Jacket (9); Rice Pack (8),high,open,2025-10-18T21:30:56.496870,
4728580368,4728512336,Women's Shelter offered at DESC's Kerner-Scott House Women's Shelter,Winter Jacket (17); Canned Soup (17); Rice Pack (17); Medical Kit (16),urgent,open,2025-10-18T21:30:56.496929,
4728580688,4728512336,Women's Shelter offered at DESC's Kerner-Scott House Women's Shelter,Sleeping Bag (6); Canned Soup (6); Winter Jacket (5),normal,open,2025-10-18T21:30:56.496988,
4728581008,4728512336,Women's Shelter offered at DESC's Kerner-Scott House Women's Shelter,Rice Pack (10); Winter Jacket (14),urgent,open,2025-10-18T21:30:56.497042,
4728581264,4728512336,Women's Shelter offered at DESC's Kerner-Scott House Women's Shelter,Rice Pack (9); Toothpaste (11),normal,open,2025-10-18T21:30:56.497096,
4728581520,4728512336,Women's Shelter offered at DESC's Kerner-Scott House Women's Shelter,Medical Kit (9); Toothpaste (25),urgent,open,2025-10-18T21:30:56.497151,
4728581840,4728512720,Men's Enhanced Shelter offered at Seattle Indian Center at Roy Street,Warm Blanket (7); Rice Pack (18); Winter Jacket (15); Winter Jacket (19),high,open,2025-10-18T21:30:56.497207,
4728582160,4728512720,Men's Enhanced Shelter offered at Seattle Indian Center at Roy Street,Medical Kit (23); Winter Jacket (21); Warm Blanket (22),normal,open,2025-10-18T21:30:56.497264,
4728582416,4728512720,Men's Enhanced Shelter offered at Seattle Indian Center at Roy Street,Warm Blanket (22); Winter Jacket (17); Sleeping Bag (19); Warm Blanket (9),normal,open,2025-10-18T21:30:56.497322,
4728582928,4728512720,Men's Enhanced Shelter offered at Seattle Indian Center at Roy Street,Sleeping Bag (25); Canned Soup (23),high,open,2025-10-18T21:30:56.497380,
4728583184,4728512720,Men's Enhanced Shelter offered at Seattle Indian Center at Roy Street,Canned Soup (24); Toothpaste (13),high,open,2025-10-18T21:30:56.497436,
4728583312,4728513040,Extended Stay Shelter offered at Sophia's Place,Toothpaste (21); Canned Soup (5); Sleeping Bag (9),high,open,2025-10-18T21:30:56.497494,
4728583824,4728513040,Extended Stay Shelter offered at Sophia's Place,Sleeping Bag (13); Sleeping Bag (11),normal,open,2025-10-18T21:30:56.497553,
4728584016,4728513040,Extended Stay Shelter offered at Sophia's Place,Toothpaste (21); Canned Soup (20); Warm Blanket (21),low,open,2025-10-18T21:30:56.497612,
4728584272,4728513040,Extended Stay Shelter offered at Sophia's Place,Rice Pack (24); Rice Pack (9); Toothpaste (20); Toothpaste (13),low,open,2025-10-18T21:30:56.497671,
4728584464,4728513040,Extended Stay Shelter offered at Sophia's Place,Toothpaste (23); Medical Kit (19); Medical Kit (5),urgent,open,2025-10-18T21:30:56.497733,
4728585040,4728513360,Eastside Men's Shelter offered by PorchLight on Eastgate Way,Toothpaste (10); Sleeping Bag (6),urgent,open,2025-10-18T21:30:56.497788,
4728585360,4728513360,Eastside Men's Shelter offered by PorchLight on Eastgate Way,Sleeping Bag (19); Sleeping Bag (21); Warm Blanket (18),urgent,open,2025-10-18T21:30:56.497844,
4728585744,4728513360,Eastside Men's Shelter offered by PorchLight on Eastgate Way,Winter Jacket (16); Winter Jacket (20),low,open,2025-10-18T21:30:56.497898,
4728585872,4728513360,Eastside Men's Shelter offered by PorchLight on Eastgate Way,Winter Jacket (10); Canned Soup (20); Sleeping Bag (16); Warm Blanket (23),high,open,2025-10-18T21:30:56.497954,
4728602832,4728513360,Eastside Men's Shelter offered by PorchLight on Eastgate Way,Toothpaste (10); Toothpaste (16),normal,open,2025-10-18T21:30:56.498013,
4728603024,4728513680,Men's Rotating Shelter offered by PorchLight,Medical Kit (25); Medical Kit (12),normal,open,2025-10-18T21:30:56.498069,
4728603344,4728513680,Men's Rotating Shelter offered by PorchLight,Canned Soup (19); Winter Jacket (25); Rice Pack (22),low,open,2025-10-18T21:30:56.498125,
4728603600,4728513680,Men's Rotating Shelter offered by PorchLight,Winter Jacket (21); Sleeping Bag (15); Canned Soup (19); Rice Pack (13),low,open,2025-10-18T21:30:56.498217,
4728604112,4728513680,Men's Rotating Shelter offered by PorchLight,Medical Kit (13); Rice Pack (5),urgent,open,2025-10-18T21:30:56.498274,
4728604240,4728513680,Men's Rotating Shelter offered by PorchLight,Toothpaste (24); Medical Kit (10); Winter Jacket (25); Canned Soup (25),high,open,2025-10-18T21:30:56.498334,
4728604688,4728513936,Emergency Shelter offered by Sophia Way at Helen's Place,Canned Soup (8); Rice Pack (11),urgent,open,2025-10-18T21:30:56.498390,
4728604944,4728513936,Emergency Shelter offered by Sophia Way at Helen's Place,Winter Jacket (24); Toothpaste (12); Rice Pack (13); Canned Soup (11),low,open,2025-10-18T21:30:56.498464,
4728605456,4728513936,Emergency Shelter offered by Sophia Way at Helen's Place,Canned Soup (11); Medical Kit (21),normal,open,2025-10-18T21:30:56.498522,
4728605584,4728513936,Emergency Shelter offered by Sophia Way at Helen's Place,Warm Blanket (16); Warm Blanket (6); Toothpaste (7); Rice Pack (5),high,open,2025-10-18T21:30:56.498584,
4728606096,4728513936,Emergency Shelter offered by Sophia Way at Helen's Place,Sleeping Bag (21); Toothpaste (21),urgent,open,2025-10-18T21:30:56.498643,
4728606416,4728514256,Women's Shelter offered at Hospitality House,Canned Soup (12); Winter Jacket (18); Sleeping Bag (12); Warm Blanket (20),low,open,2025-10-18T21:30:56.498703,
4728606672,4728514256,Women's Shelter offered at Hospitality House,Canned Soup (12); Medical Kit (25); Warm Blanket (17); Sleeping Bag (25),high,open,2025-10-18T21:30:56.498765,
4728607120,4728514256,Women's Shelter offered at Hospitality House,Winter Jacket (17); Sleeping Bag (12); Winter Jacket (24),high,open,2025-10-18T21:30:56.498822,
4728607440,4728514256,Women's Shelter offered at Hospitality House,Warm Blanket (8); Toothpaste (8); Rice Pack (24),urgent,open,2025-10-18T21:30:56.498880,
4728607696,4728514256,Women's Shelter offered at Hospitality House,Rice Pack (11); Medical Kit (8); Warm Blanket (6); Warm Blanket (25),high,open,2025-10-18T21:30:56.499052,
4728608080,4728514576,24-Hour Shelter Program offered at DESC's The Gateway,Rice Pack (5); Rice Pack (21); Canned Soup (21),high,open,2025-10-18T21:30:56.499110,
4728608464,4728514576,24-Hour Shelter Program offered at DESC's The Gateway,Toothpaste (23); Toothpaste (5); Canned Soup (10); Canned Soup (18),low,open,2025-10-18T21:30:56.499170,
4728608848,4728514576,24-Hour Shelter Program offered at DESC's The Gateway,Canned Soup (10); Medical Kit (6); Toothpaste (23); Warm Blanket (6),low,open,2025-10-18T21:30:56.499232,
4728609296,4728514576,24-Hour Shelter Program offered at DESC's The Gateway,Sleeping Bag (12); Winter Jacket (7); Medical Kit (9),normal,open,2025-10-18T21:30:56.499291,
4728609616,4728514576,24-Hour Shelter Program offered at DESC's The Gateway,Medical Kit (13); Warm Blanket (10); Canned Soup (8),normal,open,2025-10-18T21:30:56.499350,
4728610064,4728514896,24-Hour Shelter Program offered at DESC's Mary Pilgrim Inn,Rice Pack (10); Canned Soup (12); Winter Jacket (17); Medical Kit (13),urgent,open,2025-10-18T21:30:56.499409,
4728610448,4728514896,24-Hour Shelter Program offered at DESC's Mary Pilgrim Inn,Medical Kit (9); Canned Soup (16),urgent,open,2025-10-18T21:30:56.499466,
4728610640,4728514896,24-Hour Shelter Program offered at DESC's Mary Pilgrim Inn,Toothpaste (23); Rice Pack (12); Canned Soup (19),high,open,2025-10-18T21:30:56.499528,
4728610960,4728514896,24-Hour Shelter Program offered at DESC's Mary Pilgrim Inn,Toothpaste (25); Warm Blanket (13); Rice Pack (23),low,open,2025-10-18T21:30:56.499588,
4728611344,4728514896,24-Hour Shelter Program offered at DESC's Mary Pilgrim Inn,Sleeping Bag (10); Toothpaste (19),low,open,2025-10-18T21:30:56.499646,
4728611472,4728515152,Shelter Housing offered at Vine Maple Place,Medical Kit (20); Toothpaste (8); Winter Jacket (9),low,open,2025-10-18T21:30:56.499705,
4728611984,4728515152,Shelter Housing offered at Vine Maple Place,Rice Pack (9); Toothpaste (14),urgent,open,2025-10-18T21:30:56.499803,
4728612240,4728515152,Shelter Housing offered at Vine Maple Place,Sleeping Bag (14); Toothpaste (9),normal,open,2025-10-18T21:30:56.499866,
4728612432,4728515152,Shelter Housing offered at Vine Maple Place,Medical Kit (20); Warm Blanket (9); Sleeping Bag (13),normal,open,2025-10-18T21:30:56.499929,
4728612816,4728515152,Shelter Housing offered at Vine Maple Place,Sleeping Bag (17); Winter Jacket (13),urgent,open,2025-10-18T21:30:56.500002,
4728613136,4728515472,Sundown Shelter,Toothpaste (21); Canned Soup (25); Sleeping Bag (11); Rice Pack (12),urgent,open,2025-10-18T21:30:56.500066,
4728613520,4728515472,Sundown Shelter,Sleeping Bag (25); Medical Kit (16),normal,open,2025-10-18T21:30:56.500128,
4728613776,4728515472,Sundown Shelter,Medical Kit (7); Rice Pack (12),high,open,2025-10-18T21:30:56.500187,
4728614032,4728515472,Sundown Shelter,Canned Soup (21); Sleeping Bag (24),low,open,2025-10-18T21:30:56.500253,
4728614224,4728515472,Sundown Shelter,Rice Pack (21); Winter Jacket (24); Canned Soup (9),normal,open,2025-10-18T21:30:56.500314,
4728614544,4728515792,Blaine Veterans Center Enhanced Shelter offered by Compass Housing Alliance,Medical Kit (10); Toothpaste (23),high,open,2025-10-18T21:30:56.500375,
4728614800,4728515792,Blaine Veterans Center Enhanced Shelter offered by Compass Housing Alliance,Toothpaste (5); Medical Kit (22); Sleeping Bag (23); Medical Kit (12),urgent,open,2025-10-18T21:30:56.500441,
