Organization,Category,Item,Week,Starting_Quantity,Incoming,Outgoing
Hope Foundation,Food,Rice,1,371,101,132
Hope Foundation,Food,Rice,2,289,64,146
Hope Foundation,Food,Rice,3,310,121,100
Hope Foundation,Food,Rice,4,238,70,142
Hope Foundation,Food,Rice,5,244,132,126
Hope Foundation,Food,Rice,6,254,124,114
Hope Foundation,Food,Rice,7,235,137,156
Hope Foundation,Food,Rice,8,241,149,143
Hope Foundation,Food,Rice,9,272,73,42
Hope Foundation,Food,Rice,10,251,71,92
Hope Foundation,Food,Rice,11,175,51,127
Hope Foundation,Food,Rice,12,177,79,77
Hope Foundation,Food,Rice,13,125,51,103
Hope Foundation,Food,Rice,14,174,109,60
Hope Foundation,Food,Rice,15,141,82,115
Hope Foundation,Food,Rice,16,187,107,61
Hope Foundation,Food,Rice,17,237,138,88
Hope Foundation,Food,Rice,18,279,140,98
Hope Foundation,Food,Rice,19,239,91,131
Hope Foundation,Food,Rice,20,229,109,119
Hope Foundation,Food,Rice,21,192,64,101
Hope Foundation,Food,Rice,22,217,111,86
Hope Foundation,Food,Rice,23,238,111,90
Hope Foundation,Food,Rice,24,187,104,155
Hope Foundation,Food,Rice,25,258,113,42
Hope Foundation,Food,Rice,26,312,100,46
Hope Foundation,Food,Rice,27,270,70,112
Hope Foundation,Food,Rice,28,301,88,57
Hope Foundation,Food,Rice,29,226,53,128
Hope Foundation,Food,Rice,30,282,109,53
Hope Foundation,Food,Rice,31,211,58,129
Hope Foundation,Food,Rice,32,272,102,41
Hope Foundation,Food,Rice,33,274,133,131
Hope Foundation,Food,Rice,34,273,109,110
Hope Foundation,Food,Rice,35,319,93,47
Hope Foundation,Food,Rice,36,341,96,74
Hope Foundation,Food,Rice,37,348,127,120
Hope Foundation,Food,Rice,38,344,85,89
Hope Foundation,Food,Rice,39,356,53,41
Hope Foundation,Food,Rice,40,318,55,93
Hope Foundation,Food,Rice,41,278,53,93
Hope Foundation,Food,Rice,42,318,142,102
Hope Foundation,Food,Rice,43,256,67,129
Hope Foundation,Food,Rice,44,276,93,73
Hope Foundation,Food,Rice,45,298,123,101
Hope Foundation,Food,Rice,46,394,149,53
Hope Foundation,Food,Rice,47,451,144,87
Hope Foundation,Food,Rice,48,404,64,111
Hope Foundation,Food,Rice,49,405,127,126
Hope Foundation,Food,Rice,50,437,111,79
Hope Foundation,Food,Rice,51,452,134,119
Hope Foundation,Food,Rice,52,433,131,150
Hope Foundation,Food,Rice,53,472,102,63
Hope Foundation,Food,Rice,54,419,75,128
Hope Foundation,Food,Rice,55,380,109,148
Hope Foundation,Food,Rice,56,402,90,68
Hope Foundation,Food,Rice,57,382,64,84
Hope Foundation,Food,Rice,58,368,114,128
Hope Foundation,Food,Rice,59,440,120,48
Hope Foundation,Food,Rice,60,537,137,40
Hope Foundation,Food,Rice,61,467,57,127
Hope Foundation,Food,Rice,62,529,112,50
Hope Foundation,Food,Rice,63,612,130,47
Hope Foundation,Food,Rice,64,622,84,74
Hope Foundation,Food,Rice,65,660,82,44
Hope Foundation,Food,Rice,66,683,90,67
Hope Foundation,Food,Rice,67,627,56,112
Hope Foundation,Food,Rice,68,697,121,51
Hope Foundation,Food,Rice,69,708,83,72
Hope Foundation,Food,Rice,70,647,97,158
Hope Foundation,Food,Rice,71,618,72,101
Hope Foundation,Food,Rice,72,679,137,76
Hope Foundation,Food,Rice,73,744,148,83
Hope Foundation,Food,Rice,74,749,135,130
Hope Foundation,Food,Rice,75,729,84,104
Hope Foundation,Food,Rice,76,737,148,140
Hope Foundation,Food,Rice,77,716,96,117
Hope Foundation,Food,Rice,78,728,52,40
Hope Foundation,Food,Rice,79,653,54,129
Hope Foundation,Food,Rice,80,574,63,142
Hope Foundation,Food,Rice,81,602,76,48
Hope Foundation,Food,Rice,82,676,128,54
Hope Foundation,Food,Rice,83,734,139,81
Hope Foundation,Food,Rice,84,770,126,90
Hope Foundation,Food,Rice,85,747,112,135
Hope Foundation,Food,Rice,86,713,101,135
Hope Foundation,Food,Rice,87,633,53,133
Hope Foundation,Food,Rice,88,563,72,142
Hope Foundation,Food,Rice,89,545,64,82
Hope Foundation,Food,Rice,90,548,78,75
Hope Foundation,Food,Rice,91,539,62,71
Hope Foundation,Food,Rice,92,561,120,98
Hope Foundation,Food,Rice,93,629,135,67
Hope Foundation,Food,Rice,94,663,115,81
Hope Foundation,Food,Rice,95,656,94,101
Hope Foundation,Food,Rice,96,606,106,156
Hope Foundation,Food,Rice,97,594,55,67
Hope Foundation,Food,Rice,98,524,77,147
Hope Foundation,Food,Rice,99,494,93,123
Hope Foundation,Food,Rice,100,472,79,101
Hope Foundation,Food,Rice,101,438,124,158
Hope Foundation,Food,Rice,102,451,141,128
Hope Foundation,Food,Rice,103,426,111,136
Hope Foundation,Food,Rice,104,410,50,66
Hope Foundation,Food,Beans,1,727,126,144
Hope Foundation,Food,Beans,2,637,52,142
Hope Foundation,Food,Beans,3,645,119,111
Hope Foundation,Food,Beans,4,673,76,48
Hope Foundation,Food,Beans,5,708,111,76
Hope Foundation,Food,Beans,6,764,146,90
Hope Foundation,Food,Beans,7,794,93,63
Hope Foundation,Food,Beans,8,824,128,98
Hope Foundation,Food,Beans,9,770,81,135
Hope Foundation,Food,Beans,10,763,137,144
Hope Foundation,Food,Beans,11,712,101,152
Hope Foundation,Food,Beans,12,671,111,152
Hope Foundation,Food,Beans,13,687,107,91
Hope Foundation,Food,Beans,14,670,61,78
Hope Foundation,Food,Beans,15,679,51,42
Hope Foundation,Food,Beans,16,664,105,120
Hope Foundation,Food,Beans,17,620,108,152
Hope Foundation,Food,Beans,18,630,51,41
Hope Foundation,Food,Beans,19,678,141,93
Hope Foundation,Food,Beans,20,674,136,140
Hope Foundation,Food,Beans,21,683,145,136
Hope Foundation,Food,Beans,22,675,50,58
Hope Foundation,Food,Beans,23,634,51,92
Hope Foundation,Food,Beans,24,598,93,129
Hope Foundation,Food,Beans,25,570,81,109
Hope Foundation,Food,Beans,26,493,81,158
Hope Foundation,Food,Beans,27,516,117,94
Hope Foundation,Food,Beans,28,545,124,95
Hope Foundation,Food,Beans,29,534,66,77
Hope Foundation,Food,Beans,30,499,73,108
Hope Foundation,Food,Beans,31,537,147,109
Hope Foundation,Food,Beans,32,622,135,50
Hope Foundation,Food,Beans,33,551,65,136
Hope Foundation,Food,Beans,34,575,122,98
Hope Foundation,Food,Beans,35,575,119,119
Hope Foundation,Food,Beans,36,675,142,42
Hope Foundation,Food,Beans,37,646,69,98
Hope Foundation,Food,Beans,38,673,85,58
Hope Foundation,Food,Beans,39,706,139,106
Hope Foundation,Food,Beans,40,715,68,59
Hope Foundation,Food,Beans,41,750,145,110
Hope Foundation,Food,Beans,42,707,101,144
Hope Foundation,Food,Beans,43,710,82,79
Hope Foundation,Food,Beans,44,677,88,121
Hope Foundation,Food,Beans,45,677,50,50
Hope Foundation,Food,Beans,46,722,141,96
Hope Foundation,Food,Beans,47,771,138,89
Hope Foundation,Food,Beans,48,773,72,70
Hope Foundation,Food,Beans,49,835,143,81
Hope Foundation,Food,Beans,50,937,148,46
Hope Foundation,Food,Beans,51,873,65,129
Hope Foundation,Food,Beans,52,830,109,152
Hope Foundation,Food,Beans,53,841,51,40
Hope Foundation,Food,Beans,54,887,97,51
Hope Foundation,Food,Beans,55,929,118,76
Hope Foundation,Food,Beans,56,852,81,158
Hope Foundation,Food,Beans,57,766,58,144
Hope Foundation,Food,Beans,58,856,148,58
Hope Foundation,Food,Beans,59,834,97,119
Hope Foundation,Food,Beans,60,827,52,59
Hope Foundation,Food,Beans,61,807,73,93
Hope Foundation,Food,Beans,62,826,82,63
Hope Foundation,Food,Beans,63,798,124,152
Hope Foundation,Food,Beans,64,844,121,75
Hope Foundation,Food,Beans,65,788,87,143
Hope Foundation,Food,Beans,66,783,133,138
Hope Foundation,Food,Beans,67,783,138,138
Hope Foundation,Food,Beans,68,725,74,132
Hope Foundation,Food,Beans,69,643,67,149
Hope Foundation,Food,Beans,70,669,131,105
Hope Foundation,Food,Beans,71,698,103,74
Hope Foundation,Food,Beans,72,727,129,100
Hope Foundation,Food,Beans,73,678,90,139
Hope Foundation,Food,Beans,74,653,82,107
Hope Foundation,Food,Beans,75,682,82,53
Hope Foundation,Food,Beans,76,665,70,87
Hope Foundation,Food,Beans,77,575,69,159
Hope Foundation,Food,Beans,78,586,57,46
Hope Foundation,Food,Beans,79,646,116,56
Hope Foundation,Food,Beans,80,641,82,87
Hope Foundation,Food,Beans,81,668,125,98
Hope Foundation,Food,Beans,82,645,135,158
Hope Foundation,Food,Beans,83,567,71,149
Hope Foundation,Food,Beans,84,569,79,77
Hope Foundation,Food,Beans,85,576,100,93
Hope Foundation,Food,Beans,86,567,57,66
Hope Foundation,Food,Beans,87,506,76,137
Hope Foundation,Food,Beans,88,507,70,69
Hope Foundation,Food,Beans,89,586,146,67
